2021_10_20_10:44:19 | 검색모델명 : RS803GDMESK | 검색된 정보 : [{"_id":{},"idx":"6600","category2":"가전","category3":"냉장고","brand":"삼성전자","year":"2014년","model_name":"RS803GDMESK","model_code":"RS803GDMESK","avgPrice":"70000","count":"1","maxPrice":"70000","minPrice":"70000"}]
2021_10_20_10:44:29 | 검색모델명 : RQ33H7000HC | 검색된 정보 : []
2021_10_20_10:44:56 | 검색모델명 : RQ33H7000HC | 검색된 정보 : []
2021_10_20_10:45:12 | 검색모델명 : M7000 RQ33H7000HC | 검색된 정보 : []
2021_10_20_10:45:22 | 검색모델명 : M7000 | 검색된 정보 : []
2021_10_20_10:45:31 | 검색모델명 : ARN-CM63B | 검색된 정보 : []
2021_10_20_13:42:41 | 검색모델명 : AF18R5773WZN | 검색된 정보 : []
2021_10_20_13:42:47 | 검색모델명 : AF18R5773WZ | 검색된 정보 : []
2021_10_20_15:02:38 | 검색모델명 :  B507SEM | 검색된 정보 : []
2021_10_20_15:02:47 | 검색모델명 : B507SEM | 검색된 정보 : [{"_id":{},"id":"6129707","brand":"LG전자","model_name":"B507SEM (일반구매)","model_code":"B507SEM","size":null,"weight":null,"keyword":["LG전자  B507SEM (일반구매)","냉장고 \/ 2도어(일반) \/ 전체용량: 507L \/ 냉장: 376L \/ 냉동: 131L \/ 에너지효율: 2등급 \/ 소비전력: 24.1kWh(월) \/ [특징] \/ 도어쿨링 \/ 4D냉각 \/ 간접냉각 \/ 메탈쿨링 \/ 인버터컴프레서 \/ 야채실 \/ 급속냉동 \/ [편의] \/ 탈취 \/ 참숯 \/ 스마트진단 \/ 아이스메이커: 고정 \/ [부가] \/ 항균가스켓 \/ LED라이팅 \/ 색상:샤인 \/ 크롬데코핸들 \/ 크기(가로x세로x깊이): 780x1800x730mm","일반형","일반","일반용"],"price":[{"date":"20.10","minPrice":510530},{"date":"20.11","minPrice":475150},{"date":"20.12","minPrice":548020},{"date":"21.01","minPrice":516010},{"date":"21.02","minPrice":513420},{"date":"21.03","minPrice":545350},{"date":"21.04","minPrice":543360},{"date":"21.05","minPrice":561360},{"date":"21.06","minPrice":590790},{"date":"21.07","minPrice":586900},{"date":"21.08","minPrice":607210},{"date":"21.09","minPrice":588550}],"제조회사":"LG전자","등록년월":"2018년 05월","품목":"냉장고","도어수":"2도어(일반)","전체용량":"507L","냉장":"376L","냉동":"131L","에너지효율":"2등급","소비전력":"24.1kWh(월)","도어쿨링":"○","4D냉각":"○","간접냉각":"○","메탈쿨링":"○","인버터컴프레서":"○","야채실":"○","급속냉동":"○","탈취":"○","참숯":"○","스마트진단":"○","고정":"○","항균가스켓":"○","LED라이팅":"○","색상":"색상:샤인","category1":"디지털\/가전","category2":"주방가전","category3":"냉장고\/김치냉장고"}]
2021_10_20_15:03:22 | 검색모델명 : TR14WK1g | 검색된 정보 : []
